targetLot,lot,vin,vehicle,price,date,miles,damage,title,condition,location,engine,drive,status,reserveMet,included,flags,source,checkedAt
"67303746","63137536","JTDEPRAE5LJ043134","toyota corolla 2020 LE","4350","2026-09-14","112499","Front end","Salvage","Run & drive","Adelanto, CA","","","Sold","Yes","true","","https://finalbid.vin/en/toyota/corolla/2020/copart-63137536-JTDEPRAE5LJ043134","2026-09-14"
"67303746","63904796","5YFEPRAE0LP139670","toyota corolla 2020 LE","3450","2026-09-14","105890","Front end + Side","Salvage","Run & drive","Longview, TX","","","Sold","Yes","true","","https://finalbid.vin/en/toyota/corolla/2020/copart-63904796-5YFEPRAE0LP139670","2026-09-14"
"67303746","65902826","5YFEPRAE4LP145214","toyota corolla 2020 LE","4650","2026-09-14","94650","Front end","Salvage","Run & drive","Atlanta East, GA","","","Sold","Yes","true","","https://finalbid.vin/en/toyota/corolla/2020/copart-65902826-5YFEPRAE4LP145214","2026-09-14"
"67303746","58777236","5YFEPRAE5LP121259","toyota corolla 2020 LE","8500","2026-09-14","113127","Hail","Clean","Run & drive","Dallas, TX","","","Sold","Yes","false","titleDifferent","https://finalbid.vin/en/toyota/corolla/2020/copart-58777236-5YFEPRAE5LP121259","2026-09-14"
"73342175","45211805","5YFS4MCE5PP141903","toyota corolla 2023 SE","6375","2026-09-10","68128","Hail","미표시","Enhanced","Tulsa, OK","","","Sold by Buy now","No","false","buyNow; titleUnknown; trimDifferent; runningUnknown","https://finalbid.vin/en/toyota/corolla/2023/iaai-45211805-5YFS4MCE5PP141903","2026-09-14"
"61144086","45406009","JTDS4RCE5LJ013415","2020 toyota corolla SE","6250","2026-09-16","140752","Hail + All over","미표시","Run & drive","Portage, WI","2.0L","FWD","Sold","Yes","false","titleUnknown; mileageGap","https://finalbid.vin/en/toyota/corolla/2020/iaai-45406009-JTDS4RCE5LJ013415","2026-09-16"
"61144086","61227846","JTDS4RCE7LJ046447","2020 toyota corolla SE","5700","2026-09-16","81371","Front end","Salvage","Run & drive","North Boston, MA","2.0L","FWD","Sold","Yes","false","odometer","https://finalbid.vin/en/toyota/corolla/2020/copart-61227846-JTDS4RCE7LJ046447","2026-09-16"
"61144086","60675736","5YFS4RCE5LP041100","2020 toyota corolla SE","4600","2026-09-16","89283","Front end","Salvage","Run & drive","Lexington West, KY","2.0L","FWD","Sold","Yes","true","","https://finalbid.vin/en/toyota/corolla/2020/copart-60675736-5YFS4RCE5LP041100","2026-09-16"
"62951896","63951886","3N1CN8EV2ML855506","2021 nissan versa SV","2000","2026-09-15","103275","Front end","Salvage","Run & drive","Hampton, VA","1.6L","FWD","Sold","Yes","false","titleDifferent","https://finalbid.vin/en/nissan/versa/2021/copart-63951886-3N1CN8EV2ML855506","2026-09-16"
"62951896","63677686","3N1CN8EV7ML884015","2021 nissan versa SV","2500","2026-09-16","98150","Side + Front end","Salvage","Run & drive","Mocksville, NC","1.6L","FWD","Sold","Yes","false","titleDifferent","https://finalbid.vin/en/nissan/versa/2021/copart-63677686-3N1CN8EV7ML884015","2026-09-16"
"62951896","54761586","3N1CN8EVXML884039","2021 nissan versa SV","1700","2026-09-15","109440","Front end + Minor dents & scratches","Salvage","Engine starts","Shreveport, LA","1.6L","FWD","Sold by Buy now","No","false","buyNow; titleDifferent; runningUnknown","https://finalbid.vin/en/nissan/versa/2021/copart-54761586-3N1CN8EVXML884039","2026-09-16"
"57882066","45231109","3KPFL4A7XJE244459","2018 kia forte LX","2650","2026-09-15","80969","Hail","미표시","Run & drive","Park City, KS","2.0L","FWD","Sold by Buy now","No","false","buyNow; titleUnknown; trimDifferent","https://finalbid.vin/en/kia/forte/2018/iaai-45231109-3KPFL4A7XJE244459","2026-09-16"
"52447896","45231109","3KPFL4A7XJE244459","2018 kia forte LX","2650","2026-09-15","80969","Hail","미표시","Run & drive","Park City, KS","2.0L","FWD","Sold by Buy now","No","false","buyNow; titleUnknown; trimDifferent","https://finalbid.vin/en/kia/forte/2018/iaai-45231109-3KPFL4A7XJE244459","2026-09-16"
"57882066","66574686","3KPFK4A74JE245433","2018 kia forte LX","1650","2026-09-15","89277","Front end + Side","Salvage","Run & drive","Baton Rouge, LA","2.0L","FWD","Sold","Yes","false","titleDifferent; trimDifferent","https://finalbid.vin/en/kia/forte/2018/copart-66574686-3KPFK4A74JE245433","2026-09-16"
"52447896","66574686","3KPFK4A74JE245433","2018 kia forte LX","1650","2026-09-15","89277","Front end + Side","Salvage","Run & drive","Baton Rouge, LA","2.0L","FWD","Sold","Yes","false","titleDifferent; trimDifferent","https://finalbid.vin/en/kia/forte/2018/copart-66574686-3KPFK4A74JE245433","2026-09-16"
